Donald Duck Finds Pirate Gold 	"Donald Duck Four Color" #9 (Oct 1942) 	64 	Donald Duck 	Carl Barks, Jack Hannah 	Bob Karp 	W OS 9-02
Christmas Cheers 	"Walt Disney's Comics and Stories" #268 (Jan 1963) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 268-02
Oddball Odyssey 	"Uncle Scrooge" #40 (Jan 1963) 	19 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 40-02
Posthasty Postman 	"Uncle Scrooge" #40 (Jan 1963) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 40-04
A Matter of Factory 	"Walt Disney's Comics and Stories" #269 (Feb 1963) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 269-02
The Jinxed Jalopy Race 	"Walt Disney's Comics and Stories" #270 (March 1963) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 270-01
The Status Seeker 	"Uncle Scrooge" #41 (March 1963) 	20 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 41-02
Snow Duster 	"Uncle Scrooge" #41 (March 1963) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 41-04
A Stone's Throw from Ghost Town 	"Walt Disney's Comics and Stories" #271 (April 1963) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 271-01
Spare That Hair 	"Walt Disney's Comics and Stories" #272 (May 1963) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 272-01
The Case of the Sticky Money 	"Uncle Scrooge" #42 (May 1963) 	20 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 42-02
Dueling Tycoons 	"Uncle Scrooge" #42 (May 1963) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 42-01
Wishful Excess 	"Uncle Scrooge" #42 (May 1963) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 42-05
Sidewalk of the Mind 	"Uncle Scrooge" #42 (May 1963) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 42-07
A Duck's-eye View of Europe 	"Walt Disney's Comics and Stories" #273 (June 1963) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 273-01
Gall of the Wild 	"Walt Disney's Comics and Stories" #274 (July 1963) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 274-01
For Old Dime's Sake 	"Uncle Scrooge" #43 (July 1963) 	18 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 43-01
Zero Hero 	"Walt Disney's Comics and Stories" #275 (Aug 1963) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 275-01
Crown of the Mayas 	"Uncle Scrooge" #44 (Aug 1963) 	21 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 44-01
The Invisible Intruder 	"Uncle Scrooge" #44 (Aug 1963) 	6 	Uncle Scrooge 	Carl Barks 	Vic Lockman 	W US 44-04
Beach Boy 	"Walt Disney's Comics and Stories" #276 (Sept 1963) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 276-02
The Duckburg Pet Parade 	"Walt Disney's Comics and Stories" #277 (Oct 1963) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 277-01
Isle of Golden Geese 	"Uncle Scrooge" #45 (Oct 1963) 	23 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 45-01
The Travel Tightwad 	"Uncle Scrooge" #45 (Oct 1963) 	4 	Uncle Scrooge 	Carl Barks 	Vic Lockman 	W US 45-04
Have Gun, Will Dance 	"Walt Disney's Comics and Stories" #278 (Nov 1963) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 278-02
Once Upon a Carnival 	"Walt Disney's Comics and Stories" #279 (Dec 1963) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 279-01
Lost Beneath the Sea 	"Uncle Scrooge" #46 (Dec 1963) 	22 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 46-01
The Lemonade Fling 	"Uncle Scrooge" #46 (Dec 1963) 	5 	Uncle Scrooge 	Carl Barks 	Vic Lockman 	W US 46-04
A Helper's Helping Hand 	"Uncle Scrooge" #46 (Dec 1963) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 46-03
Fireman Scrooge 	"Uncle Scrooge" #46 (Dec 1963) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 46-05
Double Masquerade 	"Walt Disney's Comics and Stories" #280 (Jan 1964) 	10 	Donald Duck 	Carl Barks 	Carl Barks, Chase Craig 	W WDC 280-03
Feud and Far Between 	"Walt Disney's Comics and Stories" #281 (Feb 1964) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 281-02
The Thrifty Spendthrift 	"Uncle Scrooge" #47 (Feb 1964) 	20 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 47-01
Man Versus Machine 	"Uncle Scrooge" #47 (Feb 1964) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 47-03
No Bargain 	"Uncle Scrooge" #47 (Feb 1964) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 47-05
Up and at It 	"Uncle Scrooge" #47 (Feb 1964) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 47-06
Bubbleweight Champ 	"Walt Disney's Comics and Stories" #282 (March 1964) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 282-01
The Many Faces of Magica de Spell 	"Uncle Scrooge" #48 (March 1964) 	22 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 48-01
Jonah Gyro 	"Uncle Scrooge" #48 (March 1964) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 48-03
Cap'n Blight's Mystery Ship 	"Walt Disney's Comics and Stories" #283 (April 1964) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 283-01
The Loony Lunar Gold Rush 	"Uncle Scrooge" #49 (May 1964) 	17 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 49-01
The Olympian Torch Bearer 	"Walt Disney's Comics and Stories" #286 (July 1964) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 286-01
Rug Riders in the Sky 	"Uncle Scrooge" #50 (July 1964) 	16 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 50-01
How Green Was My Lettuce 	"Uncle Scrooge" #51 (Aug 1964) 	15 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 51-01
Hero of the Dike 	"Walt Disney's Comics and Stories" #288 (Sept 1964) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 288-01
The Great Wig Mystery 	"Uncle Scrooge" #52 (Sept 1964) 	20 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 52-01
Unfriendly Enemies 	"Walt Disney's Comics and Stories" #289 (Oct 1964) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 289-02
Interplanetary Postman 	"Uncle Scrooge" #53 (Oct 1964) 	15 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 53-01
Delivery Dilemma 	"Walt Disney's Comics and Stories" #291 (Dec 1964) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 291-01
The Billion Dollar Safari 	"Uncle Scrooge" #54 (Dec 1964) 	20 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 54-01
Saved by the Bag! 	"Uncle Scrooge" #54 (Dec 1964) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 54-04
Flowers Are Flowers 	"Uncle Scrooge" #54 (Dec 1964) 	1 	Uncle Scrooge 	Carl Barks 	(?) 	W US 54-06
Instant Hercules 	"Walt Disney's Comics and Stories" #292 (Jan 1965) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 292-01
McDuck of Arabia 	"Uncle Scrooge" #55 (Feb 1965) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 55-01
Ticking Detector 	"Uncle Scrooge" #55 (Feb 1965) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 55-04
Duck Out of Luck 	"Walt Disney's Comics and Stories" #294 (March 1965) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 294-01
Mystery of the Ghost Town Railroad 	"Uncle Scrooge" #56 (March 1965) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 56-02
The Swamp of No Return 	"Uncle Scrooge" #57 (May 1965) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 57-02
The Bigger the Beggar 	"Uncle Scrooge" #57 (May 1965) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 57-01
The Lock Out 	"Uncle Scrooge" #57 (May 1965) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 57-04
Plummeting with Precision 	"Uncle Scrooge" #57 (May 1965) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 57-06
Snake Take 	"Uncle Scrooge" #57 (May 1965) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 57-07
Monkey Business 	"Walt Disney's Comics and Stories" #297 (June 1965) 	10 	Donald Duck 	Carl Barks 	(?) 	W WDC 297-01
Million-Dollar Shower 	"Walt Disney's Comics and Stories" #297 (June 1965) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W WDC 297-07
The Giant Robot Robbers 	"Uncle Scrooge" #58 (July 1965) 	20 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 58-02
Laundry for Less 	"Uncle Scrooge" #58 (July 1965) 	1 	Uncle Scrooge 	Carl Barks 	(?) 	W US 58-03
Long Distance Collision 	"Uncle Scrooge" #58 (July 1965) 	1 	Uncle Scrooge 	Carl Barks 	(?) 	W US 58-07
North of the Yukon 	"Uncle Scrooge" #59 (Sept 1965) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 59-01
The Phantom of Notre Duck 	"Uncle Scrooge" #60 (Nov 1965) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 60-01
So Far and No Safari 	"Uncle Scrooge" #61 (Jan 1966) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 61-02
Wasted Words 	"Uncle Scrooge" #61 (Jan 1966) 	1 	Uncle Scrooge 	Carl Barks 	(?) 	W US 61-01
Down for the Count 	"Uncle Scrooge" #61 (Jan 1966) 	1 	Uncle Scrooge 	Carl Barks 	(?) 	W US 61-03
Top Wages 	"Uncle Scrooge" #61 (Jan 1966) 	1 	Uncle Scrooge 	Carl Barks 	(?) 	W US 61-06
It Happened One Winter 	"Uncle Scrooge" #61 (Jan 1966) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 61-07
The Queen of the Wild Dog Pack 	"Uncle Scrooge" #62 (March 1966) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 62-02
The Beauty Business 	"Walt Disney's Comics and Stories" #308 (May 1966) 	10 	Daisy Duck 	Carl Barks 	Carl Barks 	W WDC 308-06
House of Haunts 	"Uncle Scrooge" #63 (May 1966) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 63-02
Treasure of Marco Polo 	"Uncle Scrooge" #64 (July 1966) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 64-02
Micro-Ducks from Outer Space 	"Uncle Scrooge" #65 (Sept 1966) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 65-01
The Not-so-Ancient Mariner 	"Walt Disney's Comics and Stories" #312 (Sept 1966) 	10 	Daisy Duck 	Carl Barks 	Carl Barks 	W WDC 312-01
The Heedless Horseman 	"Uncle Scrooge" #66 (Nov 1966) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 66-02
Hall of the Mermaid Queen 	"Uncle Scrooge" #68 (March 1967) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 68-02
The Cattle King 	"Uncle Scrooge" #69 (May 1967) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 69-02
The Doom Diamond 	"Uncle Scrooge" #70 (July 1967) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 70-02
King Scrooge the First 	"Uncle Scrooge" #71 (Oct 1967) 	21 	Uncle Scrooge 	Tony Strobl 	Carl Barks 	W US 71-01
Pawns of the Loup Garou 	"Donald Duck" #117 (Jan 1968) 	21 	Donald Duck 	Tony Strobl 	Carl Barks 	W DD 117-01
